"quote","author"
"Nobody moves crystal in the South Valley but me, *****!","Tuco Salamanca"
"We're going to make a lot of money together.","Tuco Salamanca"
"No, you're just speaking for me! Like I ain't got the Goddamn sense to speak for myself! Is that it? Is that what you're doing?","Tuco Salamanca"
"Okay, Heisenberg! Next week.","Tuco Salamanca"
"Like the wild west?","Jesse Pinkman"
"You and I will not make garbage.","Walter White"
"We will produce a chemically pure and stable product that performs as advertised.","Walter White"
"Me, personally, I was hired to do a job. I did it.","Mike Ehrmantraut"
"Did I dream it or did I have $1,600,000 on my desk in cash?","Saul Goodman"
"When I close my eyes, I can still see it. It's burned into my retinas like I was staring into the sun.","Saul Goodman"
"I wasn't there when the meth was cooked. I wasn't there when it was sold. I didn't witness any of the murders, but I damn well knew it was happening.","Saul Goodman"
"I kept Walter White out of jail, I laundered his money, I lied for him, I conspired with him, and I made millions.","Saul Goodman"
"I was more than a willing participant. I was indispensable.","Saul Goodman"
"You gave our money to Ted?","Walter White"
"Why were you working against me Chuck?!","Saul Goodman"
"Ever since my diagnosis, I sleep just fine.","Walter White"
"I am not crazy! I know he swapped those numbers!","Chuck McGill"
"I knew it was 1216. One after Magna Carta. As if I could ever make such a mistake.","Chuck McGill"
"He covered his tracks, he got that idiot at the copy shop to lie for him.","Chuck McGill"
"You think this is something? You think this is bad? This chicanery?","Chuck McGill"
"He'll never change. He'll never change!","Chuck McGill"
"Ever since he was 9, always the same! Couldn't keep his hands out of the cash drawer!","Chuck McGill"
"And he gets to be a lawyer!? What a sick joke!","Chuck McGill"
"I'm your brother! We're supposed to look out for each other!","Saul Goodman"
"You're not a real lawyer.","Chuck McGill"
"University of American Samoa for Christ's sake? An online course? What a joke.","Chuck McGill"
"I worked my *** off to get where I am! And you take these shortcuts and you think suddenly you're my peer?","Chuck McGill"
"You do what I do because you're funny and you can make people laugh.","Chuck McGill"
"I committed my life to this! You don't slide into it like a cheap pair of slippers and then reap all the rewards!","Chuck McGill"
"I know what you were, what you are—people don't change, you're Slippin' Jimmy!","Chuck McGill"
"Slippin' Jimmy I can handle just fine but Slippin' Jimmy with a law degree is like a chimp with a machine gun! ","Chuck McGill"
"The law is sacred! If you abuse that power people get hurt!","Chuck McGill"
"Did I dream it, or did I have $1,600,000 on my desk in cash?","Saul Goodman"
"When I close my eyes, I can still see it. It's burned into my retinas like I was staring into the sun.","Saul Goodman"
"You and Mozart. You both started young.","Chuck McGill"
"The truth is you've never mattered all that much to me.","Chuck McGill"
